transaction_id,timestamp,amount,currency,sender_account,receiver_account,sender_country,sender_municipality,receiver_country,receiver_municipality,transaction_type,notes,amount_sek,hour,date,sender_pnr,receiver_pnr,currency_risk
f05eaab6-7a98-4d46-a020-45e8e1409e58,2025-04-15 16:57:00,41839.42,ZMW,GB42QTTR07621951221751,SE8902FOBI10005828618756,Zambia,Francescaport,Sweden,Trelleborg,incoming,Online purchase,14995.25,16,2025-04-15,,390309-7446,High
0511f0f8-58db-4d7c-aba9-587fddf3c67c,2025-05-17 16:03:00,20652.99,ZAR,GB38JUGJ63276092779398,SE8902XWUV40935991476872,South Africa,New Craigton,Sweden,Nyköping,outgoing,,11962.21,16,2025-05-17,,600918-0651,High
dcf17045-a4d4-430c-8c5b-fd9cdcdfa27d,2025-01-08 20:37:00,17248.16,ZMW,GB80NWUS06322321309531,SE8902YBUM91649266178467,Zambia,Elliemouth,Sweden,Gävle,outgoing,Salary payment,6181.74,20,2025-01-08,,730524-7251,High
329ccd73-eefa-44aa-bbe5-50bb7b300398,2025-03-19 17:25:00,25272.64,ZMW,GB68LJCV31691149334671,SE8902VWKO20169767635100,Zambia,Clarkview,Sweden,Norrköping,outgoing,Insurance payout,9057.71,17,2025-03-19,,580424-2880,High
370ebdf7-8482-4190-b1fe-e16cd5d64de7,2025-01-05 05:16:00,28192.47,ZMW,GB52PXOH81059438551311,SE8902VJUZ52218371196993,Zambia,Graemeville,Sweden,Göteborg,incoming,Reimbursement for travel,10104.18,5,2025-01-05,,870302-7774,High
9fca9229-e1b2-4db4-be0a-6fb18fe91910,2025-05-04 04:40:00,24662.12,RMB,GB21RGSF26047710313683,SE8902OVSC20334070794606,China,合肥县,Sweden,Borlänge,outgoing,Reimbursement for travel,35434.53,4,2025-05-04,,010921-4098,High
13644261-095f-48dd-b4de-e6bac17a8d3e,2025-04-15 14:12:00,27123.17,RMB,GB40SARN58167009029188,SE8902QLUT99208994499946,Myanmar,South Margaret,Sweden,Sundsvall,outgoing,Consulting fee,38970.57,14,2025-04-15,,711020-3960,High
8add0efd-e516-4eb4-be3c-b1fb9c8513c5,2025-03-15 10:18:00,34969.1,RMB,GB81WPUB16516308301598,SE8902XVJQ62588665096343,Myanmar,West Sophie,Sweden,Örnsköldsvik,outgoing,,50243.6,10,2025-03-15,,570120-3019,High
23c6c191-26f4-4c88-af85-a323063c7431,2025-03-02 00:45:00,44544.9,ZMW,GB86FVEX16733318116301,SE8902OSQP10294973862487,Zambia,North Leslie,Sweden,Eskilstuna,incoming,Gift to family member,15964.89,0,2025-03-02,,400928-6537,High
8e447617-09f2-4077-a08b-ff0e1c83b394,2025-01-02 22:56:00,19725.48,ZAR,GB69VDBV44938264975661,SE8902NQVT00867426002134,South Africa,East Elliott,Sweden,Karlstad,outgoing,Payment for invoice #7269,11425.0,22,2025-01-02,,810825-2753,High
3ce29d63-c9f4-4b7a-a5a4-1adc9826b7d5,2025-02-15 10:05:00,30451.35,ZAR,GB59QYPZ94567902190630,SE8902EYGF77551822415743,South Africa,Powellview,Sweden,Eskilstuna,incoming,Reimbursement for travel,17637.42,10,2025-02-15,,380518-3252,High
8e69cd1e-21cd-47cb-82f8-34b00258f18a,2025-01-05 16:44:00,11323.22,ZAR,GB96ADGM66167226523059,SE8902SEYF48760878274175,South Africa,North Mohamed,Sweden,Falun,incoming,Gift to family member,6558.41,16,2025-01-05,,360222-0778,High
13fae5c3-879c-4db5-a017-303d16113870,2025-04-09 18:54:00,45365.68,RMB,GB90PYOQ07783814001595,SE8902JXNJ08943900596647,Myanmar,Lake Phillipfort,Sweden,Jönköping,outgoing,Salary payment,65181.41,18,2025-04-09,,981014-7646,High
5ebad2aa-9002-43d3-9737-3e0240bc82ed,2025-05-12 12:04:00,34772.27,RMB,GB37VSNU77487347261743,SE8902FSHA42297476809642,China,通辽市,Sweden,Jönköping,incoming,Utility bill,49960.8,12,2025-05-12,,521117-6978,High
c61116dc-7b67-4663-9c0e-564280ade39f,2025-04-26 00:59:00,25773.09,RMB,GB16ICUN00210610377201,SE8902BWXT39949824641151,Myanmar,Traceyport,Sweden,Växjö,outgoing,Online purchase,37030.78,0,2025-04-26,,970509-1354,High
