transaction_id,timestamp,amount,currency,sender_account,receiver_account,sender_country,sender_municipality,receiver_country,receiver_municipality,transaction_type,notes,amount_sek
0308a664-8b78-40bd-9281-8623b3d2584a,2025-03-08 00:00:00,10977.56,SEK,SE8902MPBO87772633723937,SE8902ZJVA11817265425330,,Uddevalla,Sweden,Skövde,outgoing,Rent transfer,0.0
5aa50eb5-2f63-4125-b1be-975be4bed7e7,2025-04-03 19:09:00,42150.23,SEK,SE8902FCSV26977507325534,SE8902ZCTK81497780781136,Sweden,,Sweden,Falun,outgoing,Rent transfer,0.0
32b8ef63-4f95-4891-a39a-8b67a2ca57d9,2025-05-02 06:25:00,30955.77,SEK,SE8902NMLM36956633220058,SE8902BWKM27720380863718,,Örnsköldsvik,Sweden,Gävle,incoming,Freelance project payment,0.0
8523e30f-e027-41e0-9cfc-f1108759bc2a,2025-02-17 09:04:00,31582.56,SEK,SE8902CFVV30512683866714,SE8902DJPX89629848207656,Sweden,,Sweden,Borlänge,incoming,Subscription fee,0.0
0af039ef-fc14-481b-a528-98b1913056fc,2025-02-11 10:49:00,32588.84,SEK,SE8902ZRZI47417483372579,SE8902PBJH90393502972632,Sweden,Sundsvall,Sweden,,outgoing,Rent transfer,0.0
04ce7b53-4291-4e4c-b30c-fb43ab7cacf8,2025-03-07 02:09:00,9593.38,SEK,SE8902ERJA13877835143324,SE8902ARJI52424267786590,Sweden,Gävle,Sweden,,incoming,Payment for invoice #8258,0.0
ccd9d591-1e7e-4924-9565-406698971238,2025-04-28 09:34:00,15551.69,SEK,SE8902IWLJ80369151603079,SE8902QVDX07065136908695,,Östersund,Sweden,Sandviken,outgoing,,0.0
995b1a26-2f92-4d9f-b9f5-0841ed45c935,2025-01-03 16:02:00,45182.86,SEK,SE8902GXKS66714923613080,SE8902ZRRV53604198996393,Sweden,Norrköping,Sweden,,outgoing,Insurance payout,0.0
6b721057-d97d-483c-abbd-5cd27247095e,2025-03-21 23:06:00,18800.03,SEK,SE8902GOTA27808705650145,SE8902XARR24637715791113,Sweden,,Sweden,Gävle,incoming,Utility bill,0.0
99723967-1bc3-4f9f-85ed-cc2bfe675f5c,2025-04-17 11:12:00,46995.74,SEK,SE8902JWPZ44810854846338,SE8902PVDU32397262267370,Sweden,Nyköping,,Falun,outgoing,Salary payment,0.0
1dd877ea-185c-4f6c-b3f4-668032000d9e,2025-05-12 23:53:00,49040.75,SEK,SE8902JFXZ40334167631989,SE8902DGRO18476288845448,Sweden,Östersund,,Uddevalla,outgoing,Insurance payout,0.0
39794385-3319-4f1d-b73a-5830638aa2a6,2025-04-10 23:55:00,15630.05,SEK,SE8902OLFT37200388827050,SE8902FZSN55947389902845,Sweden,Södertälje,,Lidköping,incoming,Loan repayment,0.0
9ec868ed-f7bf-4e02-8133-6010462c4d44,2025-03-18 04:11:00,32780.29,SEK,SE8902IIVG09252145366202,SE8902ORRS48118816092087,,Stockholm,Sweden,Kristianstad,outgoing,Gift to family member,0.0
5b2636bb-70eb-4204-bc42-1b5bc87f3e6e,2025-05-12 03:55:00,29449.8,SEK,SE8902GZKC59110904284187,SE8902CFEY43701881421531,Sweden,Umeå,,Mölndal,outgoing,,0.0
b2daea58-16d5-40ae-ba90-3d844362b519,2025-03-14 14:17:00,43954.08,SEK,SE8902UFZY41218181108055,SE8902XBIN60287954526260,Sweden,Kalmar,,Sandviken,outgoing,Insurance payout,0.0
35a5bd01-e663-43ed-ad6b-ce968c83a5f7,2025-04-13 18:58:00,7563.89,SEK,SE8902OOLM49343686376830,SE8902AZMF62874749728667,Sweden,,Sweden,Borås,incoming,Subscription fee,0.0
746fe0d9-03f2-4b36-a00f-66a3fe73371f,2025-04-30 07:58:00,31230.62,SEK,SE8902MKFC17006139746737,SE8902LHUA50734331657544,,Örnsköldsvik,Sweden,Skövde,incoming,Loan repayment,0.0
8c11bb42-227d-4eb0-8b2a-f3d83aa55bf8,2025-04-27 20:38:00,23184.49,SEK,SE8902WQDY35666811304216,SE8902BWOT03489901672599,,Örnsköldsvik,Sweden,Skövde,incoming,Salary payment,0.0
080a1478-d8e4-47b4-add0-3c9da71b97ca,2023-05-23 06:52:00,2615.79,SEK,SE8902YZWC23724318974586,SE8902WSHS28438837480311,Sweden,,Sweden,Luleå,incoming,Subscription fee,0.0
44346ff1-ca78-42cc-a35d-d09eb7c38b8a,2025-02-22 02:24:00,32501.61,SEK,SE8902NZPO70353430427963,SE8902QUFJ50463670043368,,Göteborg,Sweden,Uppsala,incoming,Tax refund,0.0
43028e8c-31f5-40f2-87ea-53ecacb06efb,2025-01-27 04:13:00,49186.59,SEK,SE8902XNTB41827621868449,SE8902IWYC64669423845053,Sweden,Landskrona,Sweden,,incoming,Rent transfer,0.0
42099361-786a-4001-8965-831dd69df345,2025-05-10 00:06:00,8806.56,SEK,SE8902EQCK63728076800609,SE8902JIJC96071565969922,Sweden,Kalmar,Sweden,,incoming,Mobile recharge,0.0
c653fd2f-7f5f-4e29-bc5d-cd856e9f515a,2025-04-10 11:53:00,41315.87,SEK,SE8902BCGB09402639721004,SE8902EQCK63728076800609,Sweden,Linköping,,Malmö,incoming,Mobile recharge,0.0
f0b55e5e-3c28-49b5-a7ff-e8341471927d,2025-03-26 05:47:00,4228.12,SEK,SE8902JDXF35466571430209,SE8902FKHJ95461624405436,,Kalmar,Sweden,Piteå,incoming,Utility bill,0.0
ae857c4b-fb85-4e8f-8c3e-aac1af725648,2025-05-03 22:51:00,44563.7,SEK,SE8902KWSP63038857977275,SE8902POUN96279557917869,Sweden,Karlstad,,Växjö,outgoing,Consulting fee,0.0
6863dd4d-6bec-4d21-9534-0e967266ff68,2025-05-03 12:55:00,47983.13,SEK,SE8902CRWQ10550122839130,SE8902XFGN05965642065136,Sweden,Ängelholm,Sweden,,incoming,Freelance project payment,0.0
